idema,lon,fint,prec,alt,vmax,vv,dv,lat,dmax,ubi,hr,tamin,ta,tamax,pres,stdvv,ts,pres_nmar,tpr,vis,stddv,inso,tss5cm,psoltp,pliqt,rviento,vmaxu,dvu,pacutp,vvu,stdvvu,stddvu,dmaxu,tss20cm,geo925,geo850,nieve,geo700
1183X,-4.748056,2026-04-10T00:00:00+0000,0.0,10.0,2.0,0.9,205.0,43.420278,207.0,LLANES,90.0,13.7,13.8,14.0,1022.6,0.4,15.0,1023.8,12.2,8.5,37.0,0.0,16.7,,,,,,0.0,,,,,,,,,
1186P,-5.119247,2026-04-10T00:00:00+0000,0.0,370.0,2.2,0.1,136.0,43.266631,265.0,AMIEVA  PANIZALES,94.0,12.2,12.3,12.3,,,,,,,,,,,,,,,,,,,,,,,,
1191D,-5.00172,2026-04-10T00:00:00+0000,,1505.0,5.9,0.0,0.0,43.177372,159.0,PICO COTORRA  PARQUE NACIONAL PICOS DE EUROPA,69.0,9.8,9.8,10.7,855.3,0.3,,,,,42.0,,,,,,,,,,,,,,,,,
1199X,-5.396674,2026-04-10T00:00:00+0000,0.0,280.0,1.5,0.6,52.0,43.377836,52.0,BARGAÉU PILOÑA,94.0,12.5,12.5,12.6,,,,,,,,,,,,,,,,,,,,,,,,
1203D,-5.247153,2026-04-10T00:00:00+0000,0.0,30.0,3.3,1.9,75.0,43.492352,85.0,COLUNGA,94.0,13.6,13.6,13.8,,,,,,,,,,,,,,,,,,,,,,,,
1207U,-5.621111,2026-04-10T00:00:00+0000,0.0,25.8,4.2,1.7,76.0,43.523056,63.0,GIJÓN-CAMPUS,90.0,13.7,13.7,13.9,1020.4,0.6,14.8,1024.0,12.1,13.8,26.0,0.0,15.4,,,,,,0.0,,,,,15.2,,,,
1208H,-5.700833,2026-04-10T00:00:00+0000,0.0,5.0,3.8,1.1,106.0,43.559722,62.0,GIJÓN  MUSEL,96.0,14.4,14.6,14.7,1023.2,,,,,,,,,,,58.0,,,,,,,,,,,,
1212E,-6.044173,2026-04-10T00:00:00+0000,0.0,127.0,5.1,2.3,90.0,43.566941,80.0,ASTURIAS/AVILÉS,93.0,12.3,12.3,12.6,1008.5,0.2,14.5,1024.8,11.2,,5.0,0.0,,,,,,,,,,,,,,,,
1221D,-5.776392,2026-04-10T00:00:00+0000,0.0,1480.0,3.5,2.5,201.0,42.978608,203.0,PAJARES - VALGRANDE,73.0,7.4,8.2,9.6,,,,,3.6,,,,,,,67.0,,,,,,,,,,,,
1223P,-5.822748,2026-04-10T00:00:00+0000,0.0,370.0,2.4,0.5,326.0,43.132706,247.0,RONZÓN,94.0,11.9,12.6,12.6,,,,,,,,,,,,,,,,,,,,,,,,
1226X,-5.476919,2026-04-10T00:00:00+0000,0.0,750.0,2.8,1.2,343.0,43.095177,335.0,CUEVAS DE FELECHOSA,93.0,11.8,11.8,12.0,,,,,,,,,,,,,,,,,,,,,,,,
1234P,-5.819274,2026-04-10T00:00:00+0000,0.0,170.0,2.3,0.3,306.0,43.274885,320.0,MIERES-BAÍÑA,87.0,13.9,13.9,14.0,,,,,,,,,,,,,,,,,,,,,,,,
1249X,-5.873889,2026-04-10T00:00:00+0000,0.0,334.44,4.2,2.7,45.0,43.353333,35.0,OVIEDO,93.0,12.2,12.2,12.7,983.6,0.6,13.0,1023.9,11.1,4.1,13.0,0.0,12.5,,,,,,0.0,,,,,15.8,,,,
1272B,-6.386539,2026-04-10T00:00:00+0000,0.0,280.0,2.4,0.8,128.0,43.290276,160.0,SOUTU  LA BARCA,86.0,13.1,13.1,13.2,,,,,,,,,,,,,,,,,,,,,,,,
